id,phase_code,phase_label,cargo_code,cargo_label,trigger_code,trigger_label,context_code,context_label,text,eusotrip_coverage,eusotrip_evidence,uber_freight,cloudtrucks,severity,gap_note
S-01-01-06-B,01,Load posting,01,Dry van,06,Customs hold,B,Broker-routed,[Load posting] · Dry van · Customs hold · Broker-routed: a shipper and driver execute the load posting step on a dry van load while customs hold unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-06-C,01,Load posting,01,Dry van,06,Customs hold,C,Catalyst-managed,[Load posting] · Dry van · Customs hold · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while customs hold unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-06-D,01,Load posting,01,Dry van,06,Customs hold,D,Multi-stop / chain,[Load posting] · Dry van · Customs hold · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while customs hold unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-07-A,01,Load posting,01,Dry van,07,Missed appointment,A,Direct shipper→driver,[Load posting] · Dry van · Missed appointment · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while missed appointment unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-07-B,01,Load posting,01,Dry van,07,Missed appointment,B,Broker-routed,[Load posting] · Dry van · Missed appointment · Broker-routed: a shipper and driver execute the load posting step on a dry van load while missed appointment unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-07-C,01,Load posting,01,Dry van,07,Missed appointment,C,Catalyst-managed,[Load posting] · Dry van · Missed appointment · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while missed appointment unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-07-D,01,Load posting,01,Dry van,07,Missed appointment,D,Multi-stop / chain,[Load posting] · Dry van · Missed appointment · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while missed appointment unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-08-A,01,Load posting,01,Dry van,08,Document defect,A,Direct shipper→driver,[Load posting] · Dry van · Document defect · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while document defect unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-08-B,01,Load posting,01,Dry van,08,Document defect,B,Broker-routed,[Load posting] · Dry van · Document defect · Broker-routed: a shipper and driver execute the load posting step on a dry van load while document defect unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-08-C,01,Load posting,01,Dry van,08,Document defect,C,Catalyst-managed,[Load posting] · Dry van · Document defect · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while document defect unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-08-D,01,Load posting,01,Dry van,08,Document defect,D,Multi-stop / chain,[Load posting] · Dry van · Document defect · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while document defect unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-09-A,01,Load posting,01,Dry van,09,Route deviation,A,Direct shipper→driver,[Load posting] · Dry van · Route deviation · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while route deviation unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-09-B,01,Load posting,01,Dry van,09,Route deviation,B,Broker-routed,[Load posting] · Dry van · Route deviation · Broker-routed: a shipper and driver execute the load posting step on a dry van load while route deviation unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-09-C,01,Load posting,01,Dry van,09,Route deviation,C,Catalyst-managed,[Load posting] · Dry van · Route deviation · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while route deviation unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-09-D,01,Load posting,01,Dry van,09,Route deviation,D,Multi-stop / chain,[Load posting] · Dry van · Route deviation · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while route deviation unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-10-A,01,Load posting,01,Dry van,10,HOS violation risk,A,Direct shipper→driver,[Load posting] · Dry van · HOS violation risk · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while hos violation risk unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-10-B,01,Load posting,01,Dry van,10,HOS violation risk,B,Broker-routed,[Load posting] · Dry van · HOS violation risk · Broker-routed: a shipper and driver execute the load posting step on a dry van load while hos violation risk unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-10-C,01,Load posting,01,Dry van,10,HOS violation risk,C,Catalyst-managed,[Load posting] · Dry van · HOS violation risk · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while hos violation risk unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-10-D,01,Load posting,01,Dry van,10,HOS violation risk,D,Multi-stop / chain,[Load posting] · Dry van · HOS violation risk · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while hos violation risk unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-01-A,01,Load posting,02,Reefer,01,Happy path,A,Direct shipper→driver,[Load posting] · Reefer · Happy path · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while happy path unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-01-B,01,Load posting,02,Reefer,01,Happy path,B,Broker-routed,[Load posting] · Reefer · Happy path · Broker-routed: a shipper and driver execute the load posting step on a reefer load while happy path unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-01-C,01,Load posting,02,Reefer,01,Happy path,C,Catalyst-managed,[Load posting] · Reefer · Happy path · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while happy path unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-01-D,01,Load posting,02,Reefer,01,Happy path,D,Multi-stop / chain,[Load posting] · Reefer · Happy path · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while happy path unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-02-A,01,Load posting,02,Reefer,02,Weather delay,A,Direct shipper→driver,[Load posting] · Reefer · Weather delay · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while weather delay unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-02-B,01,Load posting,02,Reefer,02,Weather delay,B,Broker-routed,[Load posting] · Reefer · Weather delay · Broker-routed: a shipper and driver execute the load posting step on a reefer load while weather delay unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-02-C,01,Load posting,02,Reefer,02,Weather delay,C,Catalyst-managed,[Load posting] · Reefer · Weather delay · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while weather delay unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-02-D,01,Load posting,02,Reefer,02,Weather delay,D,Multi-stop / chain,[Load posting] · Reefer · Weather delay · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while weather delay unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-03-A,01,Load posting,02,Reefer,03,Mechanical breakdown,A,Direct shipper→driver,[Load posting] · Reefer · Mechanical breakdown · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while mechanical breakdown unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-03-B,01,Load posting,02,Reefer,03,Mechanical breakdown,B,Broker-routed,[Load posting] · Reefer · Mechanical breakdown · Broker-routed: a shipper and driver execute the load posting step on a reefer load while mechanical breakdown unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-03-C,01,Load posting,02,Reefer,03,Mechanical breakdown,C,Catalyst-managed,[Load posting] · Reefer · Mechanical breakdown · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while mechanical breakdown unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-03-D,01,Load posting,02,Reefer,03,Mechanical breakdown,D,Multi-stop / chain,[Load posting] · Reefer · Mechanical breakdown · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while mechanical breakdown unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-04-A,01,Load posting,02,Reefer,04,Traffic / road closure,A,Direct shipper→driver,[Load posting] · Reefer · Traffic / road closure · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while traffic / road closure unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-04-B,01,Load posting,02,Reefer,04,Traffic / road closure,B,Broker-routed,[Load posting] · Reefer · Traffic / road closure · Broker-routed: a shipper and driver execute the load posting step on a reefer load while traffic / road closure unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-04-C,01,Load posting,02,Reefer,04,Traffic / road closure,C,Catalyst-managed,[Load posting] · Reefer · Traffic / road closure · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while traffic / road closure unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-04-D,01,Load posting,02,Reefer,04,Traffic / road closure,D,Multi-stop / chain,[Load posting] · Reefer · Traffic / road closure · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while traffic / road closure unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-05-A,01,Load posting,02,Reefer,05,Accident / incident,A,Direct shipper→driver,[Load posting] · Reefer · Accident / incident · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while accident / incident unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-05-B,01,Load posting,02,Reefer,05,Accident / incident,B,Broker-routed,[Load posting] · Reefer · Accident / incident · Broker-routed: a shipper and driver execute the load posting step on a reefer load while accident / incident unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-05-C,01,Load posting,02,Reefer,05,Accident / incident,C,Catalyst-managed,[Load posting] · Reefer · Accident / incident · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while accident / incident unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-05-D,01,Load posting,02,Reefer,05,Accident / incident,D,Multi-stop / chain,[Load posting] · Reefer · Accident / incident · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while accident / incident unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-06-A,01,Load posting,02,Reefer,06,Customs hold,A,Direct shipper→driver,[Load posting] · Reefer · Customs hold · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while customs hold unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-06-B,01,Load posting,02,Reefer,06,Customs hold,B,Broker-routed,[Load posting] · Reefer · Customs hold · Broker-routed: a shipper and driver execute the load posting step on a reefer load while customs hold unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-06-C,01,Load posting,02,Reefer,06,Customs hold,C,Catalyst-managed,[Load posting] · Reefer · Customs hold · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while customs hold unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-06-D,01,Load posting,02,Reefer,06,Customs hold,D,Multi-stop / chain,[Load posting] · Reefer · Customs hold · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while customs hold unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-07-A,01,Load posting,02,Reefer,07,Missed appointment,A,Direct shipper→driver,[Load posting] · Reefer · Missed appointment · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while missed appointment unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-07-B,01,Load posting,02,Reefer,07,Missed appointment,B,Broker-routed,[Load posting] · Reefer · Missed appointment · Broker-routed: a shipper and driver execute the load posting step on a reefer load while missed appointment unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-07-C,01,Load posting,02,Reefer,07,Missed appointment,C,Catalyst-managed,[Load posting] · Reefer · Missed appointment · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while missed appointment unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-07-D,01,Load posting,02,Reefer,07,Missed appointment,D,Multi-stop / chain,[Load posting] · Reefer · Missed appointment · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while missed appointment unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-08-A,01,Load posting,02,Reefer,08,Document defect,A,Direct shipper→driver,[Load posting] · Reefer · Document defect · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while document defect unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-08-B,01,Load posting,02,Reefer,08,Document defect,B,Broker-routed,[Load posting] · Reefer · Document defect · Broker-routed: a shipper and driver execute the load posting step on a reefer load while document defect unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-08-C,01,Load posting,02,Reefer,08,Document defect,C,Catalyst-managed,[Load posting] · Reefer · Document defect · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while document defect unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-08-D,01,Load posting,02,Reefer,08,Document defect,D,Multi-stop / chain,[Load posting] · Reefer · Document defect · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while document defect unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-09-A,01,Load posting,02,Reefer,09,Route deviation,A,Direct shipper→driver,[Load posting] · Reefer · Route deviation · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while route deviation unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-09-B,01,Load posting,02,Reefer,09,Route deviation,B,Broker-routed,[Load posting] · Reefer · Route deviation · Broker-routed: a shipper and driver execute the load posting step on a reefer load while route deviation unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-09-C,01,Load posting,02,Reefer,09,Route deviation,C,Catalyst-managed,[Load posting] · Reefer · Route deviation · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while route deviation unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-09-D,01,Load posting,02,Reefer,09,Route deviation,D,Multi-stop / chain,[Load posting] · Reefer · Route deviation · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while route deviation unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-10-A,01,Load posting,02,Reefer,10,HOS violation risk,A,Direct shipper→driver,[Load posting] · Reefer · HOS violation risk · Direct shipper→driver: a shipper and driver execute the load posting step on a reefer load while hos violation risk unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-10-B,01,Load posting,02,Reefer,10,HOS violation risk,B,Broker-routed,[Load posting] · Reefer · HOS violation risk · Broker-routed: a shipper and driver execute the load posting step on a reefer load while hos violation risk unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-10-C,01,Load posting,02,Reefer,10,HOS violation risk,C,Catalyst-managed,[Load posting] · Reefer · HOS violation risk · Catalyst-managed: a shipper and driver execute the load posting step on a reefer load while hos violation risk unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-02-10-D,01,Load posting,02,Reefer,10,HOS violation risk,D,Multi-stop / chain,[Load posting] · Reefer · HOS violation risk · Multi-stop / chain: a shipper and driver execute the load posting step on a reefer load while hos violation risk unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-01-A,01,Load posting,03,Flatbed,01,Happy path,A,Direct shipper→driver,[Load posting] · Flatbed · Happy path · Direct shipper→driver: a shipper and driver execute the load posting step on a flatbed load while happy path unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-01-B,01,Load posting,03,Flatbed,01,Happy path,B,Broker-routed,[Load posting] · Flatbed · Happy path · Broker-routed: a shipper and driver execute the load posting step on a flatbed load while happy path unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-01-C,01,Load posting,03,Flatbed,01,Happy path,C,Catalyst-managed,[Load posting] · Flatbed · Happy path · Catalyst-managed: a shipper and driver execute the load posting step on a flatbed load while happy path unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-01-D,01,Load posting,03,Flatbed,01,Happy path,D,Multi-stop / chain,[Load posting] · Flatbed · Happy path · Multi-stop / chain: a shipper and driver execute the load posting step on a flatbed load while happy path unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-02-A,01,Load posting,03,Flatbed,02,Weather delay,A,Direct shipper→driver,[Load posting] · Flatbed · Weather delay · Direct shipper→driver: a shipper and driver execute the load posting step on a flatbed load while weather delay unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-02-B,01,Load posting,03,Flatbed,02,Weather delay,B,Broker-routed,[Load posting] · Flatbed · Weather delay · Broker-routed: a shipper and driver execute the load posting step on a flatbed load while weather delay unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-02-C,01,Load posting,03,Flatbed,02,Weather delay,C,Catalyst-managed,[Load posting] · Flatbed · Weather delay · Catalyst-managed: a shipper and driver execute the load posting step on a flatbed load while weather delay unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-02-D,01,Load posting,03,Flatbed,02,Weather delay,D,Multi-stop / chain,[Load posting] · Flatbed · Weather delay · Multi-stop / chain: a shipper and driver execute the load posting step on a flatbed load while weather delay unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-03-A,01,Load posting,03,Flatbed,03,Mechanical breakdown,A,Direct shipper→driver,[Load posting] · Flatbed · Mechanical breakdown · Direct shipper→driver: a shipper and driver execute the load posting step on a flatbed load while mechanical breakdown unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-03-03-B,01,Load posting,03,Flatbed,03,Mechanical breakdown,B,Broker-routed,[Load posting] · Flatbed · Mechanical breakdown · Broker-routed: a shipper and driver execute the load posting step on a flatbed load while mechanical breakdown unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
